日期,目標股,趨勢延續分數,趨勢延續分數_100,趨勢延續標籤,信心,主要貢獻1
2026-09-08,4971.TW,0.275,27.5,弱偏多延續,納入 12 檔關聯股；其中天數樣本最少的一檔為 243 天（樣本充足（>200，具統計意義））,Sumitomo Electric
2026-09-08,3105.TW,0.146,14.6,弱偏多延續,納入 12 檔關聯股；其中天數樣本最少的一檔為 240 天（樣本充足（>200，具統計意義））,Mitsubishi Electric
2026-09-08,8086.TW,0.076,7.6,方向不明/觀望,納入 12 檔關聯股；其中天數樣本最少的一檔為 232 天（樣本充足（>200，具統計意義））,Mitsubishi Electric
2026-09-08,3363.TW,0.343,34.3,弱偏多延續,納入 12 檔關聯股；其中天數樣本最少的一檔為 240 天（樣本充足（>200，具統計意義））,
2026-09-08,3163.TW,0.288,28.8,弱偏多延續,納入 12 檔關聯股；其中天數樣本最少的一檔為 239 天（樣本充足（>200，具統計意義））,
2026-09-08,4979.TW,0.445,44.5,中度偏多延續,納入 12 檔關聯股；其中天數樣本最少的一檔為 242 天（樣本充足（>200，具統計意義））,
2026-09-08,3450.TW,0.296,29.6,弱偏多延續,納入 12 檔關聯股；其中天數樣本最少的一檔為 239 天（樣本充足（>200，具統計意義））,Sumitomo Electric
2026-09-08,4977.TW,0.295,29.5,弱偏多延續,納入 12 檔關聯股；其中天數樣本最少的一檔為 238 天（樣本充足（>200，具統計意義））,
2026-09-08,6451.TW,0.427,42.7,中度偏多延續,納入 12 檔關聯股；其中天數樣本最少的一檔為 242 天（樣本充足（>200，具統計意義））,
2026-09-08,3711.TW,0.204,20.4,弱偏多延續,納入 12 檔關聯股；其中天數樣本最少的一檔為 232 天（樣本充足（>200，具統計意義））,Mitsubishi Electric
2026-09-08,2330.TW,0.186,18.6,弱偏多延續,納入 12 檔關聯股；其中天數樣本最少的一檔為 228 天（樣本充足（>200，具統計意義））,Mitsubishi Electric
2026-09-08,3008.TW,-1.0,-100.0,強烈偏空延續,納入 4 檔關聯股；其中天數樣本最少的一檔為 237 天（樣本充足（>200，具統計意義））,今國光
2026-09-08,3362.TW,-1.0,-100.0,強烈偏空延續,納入 4 檔關聯股；其中天數樣本最少的一檔為 236 天（樣本充足（>200，具統計意義））,今國光
2026-09-08,3406.TW,-1.0,-100.0,強烈偏空延續,納入 4 檔關聯股；其中天數樣本最少的一檔為 241 天（樣本充足（>200，具統計意義））,亞光
2026-09-08,4585.TW,-0.496,-49.6,中度偏空延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 235 天（樣本充足（>200，具統計意義））,所羅門
2026-09-08,6415.TW,0.251,25.1,弱偏多延續,納入 12 檔關聯股；其中天數樣本最少的一檔為 240 天（樣本充足（>200，具統計意義））,台達電
2026-09-08,6526.TW,0.046,4.6,方向不明/觀望,納入 12 檔關聯股；其中天數樣本最少的一檔為 239 天（樣本充足（>200，具統計意義））,聯發科
2026-09-08,3231.TW,1.0,100.0,強烈偏多延續,納入 6 檔關聯股；其中天數樣本最少的一檔為 98 天（樣本偏少（30–100，可謹慎推論方向））,南亞科
2026-09-08,2615.TW,-0.648,-64.8,中度偏空延續,納入 3 檔關聯股；其中天數樣本最少的一檔為 233 天（樣本充足（>200，具統計意義））,陽明
2026-09-08,8039.TW,-0.64,-64.0,中度偏空延續,納入 3 檔關聯股；其中天數樣本最少的一檔為 250 天（樣本充足（>200，具統計意義））,台光電
2026-09-08,2301.TW,-1.0,-100.0,強烈偏空延續,納入 2 檔關聯股；其中天數樣本最少的一檔為 219 天（樣本充足（>200，具統計意義））,台達電
2026-09-08,2464.TW,-0.415,-41.5,中度偏空延續,納入 4 檔關聯股；其中天數樣本最少的一檔為 247 天（樣本充足（>200，具統計意義））,廣運
2026-09-08,2059.TW,-1.0,-100.0,強烈偏空延續,納入 2 檔關聯股；其中天數樣本最少的一檔為 244 天（樣本充足（>200，具統計意義））,勤誠
2026-09-08,6214.TW,0.349,34.9,弱偏多延續,納入 4 檔關聯股；其中天數樣本最少的一檔為 214 天（樣本充足（>200，具統計意義））,零壹
2026-09-08,2395.TW,-0.517,-51.7,中度偏空延續,納入 3 檔關聯股；其中天數樣本最少的一檔為 243 天（樣本充足（>200，具統計意義））,樺漢
